Category,Question,Answer
General,Pneumatiphobia is the fear of,Spirits
General,Raquel Welch was once a what,Weathergirl
General,Cab is a shortened version of what word,Cabriolet
General,What title is reserved for the leader of the entire Ku Klux Klan,Grand wizard
Music,"From 1994 What Was ""All For Ones"" Biggest Hit",I Swear
General,"What is the full name of the creator of ""Jeeves & Wooster""",Pelham grenville wodehouse
Geography,What is the capital of Mauritania,Nouakchott
Food & Drink,"What soft drink is advertised with the slogan, What's the worst that could happen? ",Dr Pepper 
General,In France if you were served le miel what would you eat,Honey
Science & Nature,This term means 'cone_bearing trees'.,Conifers
General,Which was the second japanese city bombed in 1945,Nagasaki
General,The Korat plateau in Thailand gives its name to what kind of animal,Cat
General,How many legs does a lobster have,Ten
Sports & Leisure,How Many People Are In Each Of The Crews For The Oxford & Cambridge Boat Race? ,9 = 8 Rowers & 1 Cox 
History & Holidays,Cleopatra's slaves often died because she tested this on them,Poison
Geography,Which Was The First Suspension Bridge In London ,Hammersmith Bridge 
General,Who is Olive Oyls brother,Castor Oyl
History & Holidays,Which country did Idi Amin invade in 1978? ,Tanzania 
Music,Which Was The First Single Released By The Beatles On The Apple Label,Hey Jude
General,Honi soit qui mal y pence is the motto of what organisation,Order of the Garter
General,Denis Gabor of Hungary 1971 Nobel prize for what invention,Holograms
General,What is the only insect that can turn its head,The praying mantis
General,The 'love apple' is more commonly known as what,Tomato
Science & Nature,Gastritis affects the __________.,Stomach
General,What country saw the origin of lawn tennis,England
General,"Who started on the san francisco scene with 'oh well', but are probably best known for their album 'rumors'",Fleetwood mac
Sports & Leisure,How Many Players Are In A Polo Team? ,4 
General,What was the name of He-Man's magician sidekick?,Orko
Music,Where Did The Beatles Appear On The 30th January 1969,"Roof Of The Apple Offices ""Saville Row, London"""
General,What bird has the most feathers per square inch,Penguin
Entertainment,"What film starred Helen Hunt, Cary Elwes and Bill Paxton?",Twister
General,Autophobia is a fear of ______,Being alone
Science & Nature,Who Was The First Animal In Space ,Laika The Dog 
Geography,Name the second largest country in Africa.,Algeria
General,What is the Capital of: Korea South,Seoul
General,What is the fear of one's own fears known as,Phobophobia
General,What is the name of the capital of Quebec (Canada),Quebec city
General,Neophobia is the fear of,Anything new
Art & Literature,In which book did four ghosts visit Scrooge?,A Christmas Carol
General,What artist cut off his right ear,Vincent van gogh
General,Which character from beavis and Butthead has their own show?,Daria
Geography,Which country has Budapest as its capital?,Hungary
General,Haiphong is the third largest city in which south-east Asian country,Vietnam
History & Holidays,What Are The first Names Of The Everly Bros ,Don & Phil 
General,Pluto (the Planet) was almost called what name,Zeus
General,Name (in the US) Denis the Menaces cat,Hot Dog
History & Holidays,Who sang the theme song to the 'Breakfast Club'? ,Simple Minds 
General,Name the companion of the cartoon character Secret Squirrel,Morocco Mole
Science & Nature,Camel milk is the only milk that doesn't curdle when __________,Boiled
Sports & Leisure,What Does The C Stand For On A Netball Team? ,Centre 
History & Holidays,Where were Anne Boleyn and Catherine Howard both executed? ,The Tower Of London 
General,Of which metal is sperrylite the ore,Platinum
General,Which leader sits on the 'Lion Throne'?,Dalai Lama
Entertainment,"In the TV series 'The Fall Guy', who did Lee Majors play?",Colt Seavers
Music,In which year was the Summer Of Love?,1967
General,What canal parts redesigned by Leonardo da Vinci in 1497 are still in use today,Locks
Food & Drink,What do Americans call what the British call an iced-lolly? ,Popsicle 
General,Who wrote the opera Madame Butterfly,Puccini
Geography,"With about 865 people per square mile, the island of _____________ is one of Europe's most densely populated regions.",Madeira
General,On what common object could you find a gate and a claw,Camera
Science & Nature,"Very unusual for carnivores, hyena clans are dominated by __________",Females
General,What precious metal does the U.S. store in fort knox,Gold
General,What is the penalty for drunk driving in Sumatra,Loss of a hand
General,What are the Christian names of the novelist P D James,Phyllis dorothy
General,Who directed the 1916 film 'intolerance',D.w griffith
General,Joseph Lister - first operation antiseptic - 1867 on who,His sister
General,In 1449 Thomas Brightfield built London's first what,Lavatory
General,Where does the dollar sign come from,U on S bottom U dropped out $
History & Holidays,Near which Belarus City did the biggest ever tank battle take place during WWII?,Kursk
General,Which Tv Detective Kept A Pet Alligator Named “ Elvis ”,Sonny Crocket
General,Gus Wickie Pinto Colvig William Pennell Jackson Beck - Link,Bluto in Popeye
General,Who was the world's longest reigning monarch,Louis xiv of france
General,President Andrew Jackson's funeral 1845 who removed swearing,His Pet Parrot
General,Who made a 1990's cover version of The Monkees 'I'm a Believer',Vic reeves
General,Slang word meaning aggressively blatent or provocative,In-your-face
General,With which group is Damon Allbarn the lead singer,Blur
History & Holidays,"Is kissing under the Mistletoe, a Roman, Druid, or Celtic custom ",Druid 
General,Chang 1st Wang 2nd what third most common Chinese name,Li
General,Pitney which is the largest planet in our solar system,Jupiter
Food & Drink,What Type Of Foodstuff Is Traditionally Eaten On Shrove Tuesday ,Pancakes 
General,Which light wood is commonly used for making aeromodels?,Balsa
General,White creame de menthe and brandy make what cocktail,Stinger
General,A catalogue of words and synonyms.,Thesaurus
General,Who was Americas first billionaire,Rockefeller
General,More water flows over _____ _____every year than over any other falls on earth,Niagara falls
History & Holidays,"""Hot cockles"""" was popular at Christmas in medieval times What was it? """"A Drinking Song"""" """"A Medievil Game"""" """"A Dish Of Seafood"""" """"A Hot Spice Drink"""" "" ",A Tudor Game 
General,Which is the largest of the Canary Islands,Tenerife
General,Mary Read and Anne Boney had what job in common,Pirates
Science & Nature,What is a group of peacocks called?,Muster
General,"In 'romeo and juliet', why couldn't the nurse tell juliet the news of her meeting with romeo immediately",She was out of breath
General,What is the Capital of: Vanuatu,Port-vila
General,"In The World Of Science What Was Discovered By ""Clyde Tombaugh"" In The Year 1930",Pluto
General,Poliosophobia is the fear of,Contracting poliomyelitis
General,U.S. captials Florida,Tallahassee
General,How was the country of Belize known prior to 1971?,British Honduras
General,In which country was the first soccer World Cup held,Uruguay
Science & Nature,"We are sure that whales and dolphins had land_living ancestors, but we don't know what they were like and we don't know how they __________",Evolved
General,What do x & y chromozomes combine in making,Males
General,By what other name is Lac Leman known,Lake geneva
General,Charles Duff wrote the macabre Handbook of what,Hanging
General,What breed of dog bites the most humans,German Shepherd – Alsatian
General,What Type Of Creature Is Located On Top Of The Calcutta Cup,Elephant
General,Where were fortune cookies invented,United states
Science & Nature,Which substance has the chemical formula HCl?,Hydrochloric acid
General,What actress wrote the autobiography Call Me Anna,Patty duke
General,In which river was jesus baptised,Jordan
Science & Nature,"How Many Legs, Including Pincers Does A Crab Have? ",Ten 
General,"In Terry Pratchett's Discworld series, Death rides a pale horse. What is its name",Binkie
General,What Is Michael Jacksons Middle Name,Joseph
General,"In art, a form of watercolor that uses opaque pigments rather than the usual transparent watercolor pigments",Gouache
General,Dish of food covered with alcohol and set alight,Flambe
Geography,What is the capital of the United Arab Emirates,Abu dhabi
General,Collective Nouns - a Convocation of what,Eagles
Entertainment,Tess Trueheart married which plainclothes detective,Dick tracy
General,In Kansas City its illegal for children to buy what,Cap Guns – but shotguns are OK
General,What color are a zebra's stripes during the first six months of life,Brown
General,If you had variola what disease have you got,Smallpox
History & Holidays,What Was A Sopwith Camel? ,A Single Seater Armed Biplane Used In WWI 
Science & Nature,Which is the largest aquatic bird?,Albatross
General,At the outbreak of WWI what country's airforce consisted of only 50 men?,United States
General,"What actress said ""It's better to be nude than unemployed""",Angie Dickinson
Science & Nature,__________ can climb trees faster than they can run on the ground.,Squirrels
General,Kalium. is the Latin name for which element,Potassium
General,What do male butterflies like to lick,Stones - to get nutrients
General,Women do it weekly to sleep better men every two weeks what,Change sheets
General,What was the print left on the car in the boat in the movie Titanic?,A handprint
Food & Drink,The Process Where Food Browns During Cooking Is Known As The What ,Maillard Reaction 
General,The Ten Commandments what was number four,Keep the Sabbath holy
General,In which country was Rudyard Kipling born,India
General,In which Commonwealth country is Cobra beer brewed,India
General,"Which river passes through germany, austria, slovakia, hungary, croatia, yugoslavia, romania, blugaria and ukraine before arriving at the black sea",Danube
General,"A ballet in which the women wear white tutus, such as the second and fourth acts of Swan Lake.",Ballet blanc
General,The Coromandel Coast is an area which can be found in which two countries?,India or New Zealand
General,An Ochlophilliac gets sexually aroused from what,Being in crowds
Music,In The Peter Kay Video To Is This The Way To Amarillo Who Are The First 2 People To Join Peter Kay On His Journey In This Charity Video,Ken & Deirdre (Barlow)
Music,"""Safety Dance"" Was A Hit For Which Band",Men Without Hats
General,Phoenix is the capital of ______,Arizona
General,Who wrote the humorous books on One Upmanship,Steven Potter
General,What links the Isle of Portland to the mainland coast of Dorset,Chesil bank
General,Who designed the bouncing bomb in World War II,Barnes wallis
Entertainment,Who founded 'Live Aid' and 'Band Aid'?,Bob Geldof & Midge Ure
Music,"Lou Rawls, Sam & Dave , Wilson Pickett, Otis Redding Who Is Next In Line And Why",James Brown
General,What links George Patton Jayne Mansfield Margaret Mitchell,Died in car crashes
Science & Nature,What Is The Worlds Longest Manmade Waterway ,The Grand Canal In China 
Geography,What is the capital of Moldova?,Kishinev
General,The art of tracing designs and taking impressions of them is _______.,Lithography
General,By Law in Massachusetts what can you not do to a pigeon,Scare it
History & Holidays,Which bank holiday was first celebrated in Britain in 1978? ,1st May 
General,N2O is more commonly known as what,Laughing gas
General,On a standard rainbow what colour is on the inside of the curve,Violet
General,In what film does Steve McQueen get to race a Mustang round the streets of San Francisco,Bullitt
General,What is the flower that stands for: charity,Turnip
History & Holidays,"The Colosseum received its name not for its size, but for a colossal statue of who that stood close by?",Nero
Science & Nature,What Is The Name Of Stephen Hawkins Famous Cosmology Book Published In 1998 ,A Brief History Of Time 
General,Mauritania is in which continent,Africa
General,From pasadena Whose soldiers were the first ever to win the Nobel Peace Prize,United
General,Under what name is thomas lanier williams better known,Tennessee williams
General,What is a water taxi,Gondola
Geography,Acadia was the original name of which canadian province ,Nova scotia 
Science & Nature,"The ""canebrake"", ""timber"" and ""pygmy"" are types of what?",Rattlesnake
General,Who wrote the Prisoner of Zenda?,Anthony Hope
General,Every ship in the Royal Navy have customised what,Zippo Lighters
General,"Measured from base to summit, what is the highest mountain",Mauna kea
General,Kuwait is the capital of ______,Kuwait
General,Arched or domed recess at the end of a church,Apse
General,What European city is nicknamed Auld Reekie,Edinburgh
Geography,If You Drove In A Straight Line From Moscow To Madrid How Many Countries Would You Drive In All Together ,"Eight (Russia, Belarus, Poland, Czech Republic, Germany, Switzerland, France & Spain "
General,A person who works with iron,Blacksmith
Food & Drink,What Is The Principle Ingredient Of The Indian Dish Biryani ,Rice 
General,What European country has no head of state,Switzerland
Geography,What Is The 3rd Most Populous Country On Earth ,The Usa 
General,"Of the 266 popes, how many died violently",Thirty three
General,What is the correct name for a virgin (uncalfed) cow,Heifer
General,What is the flower that stands for: concealed love,Motherwort
General,Guru Nanak founded which religion,Sikhism
History & Holidays,What was the capital of East Germany?,East Berlin
Art & Literature,What Is The Name Of The Russian National Ballet ,The Kirov Ballet 
Music,"Which Regard To The Po Boyband ""JLS"" What Do The Initials JLS Stand For",Jack The Lad Swing
General,In which month is the Earth nearest the Sun ?,January
Music,Rod Stewart's first album was called after whiuch alley?,Gasoline Alley
History & Holidays,"In the fairy tale 'Cinderella'', which slipper did she lose, the left or the right ",Left 
History & Holidays,Who Released The 70's Album Entitled Gasoline Alley ,Rod Stewart 
General,What is the name of the pig that Jim Davis draws,Orson
History & Holidays,Which Card Appeared In The UK For The Very First Time In 1963 ,American Express 
General,Who became Prime Minister following the assassination of Spencer Percival in 1812,Robert banks jenkinson
General,If you landed at MCO airfield where are you,Orlando Florida
General,Jeff Lynne - Roy Wood - Bev Bevan - what pop group,Electric Light Orchestra
General,International dialling codes - what country has 61 as code,Australia
General,The film The Madness of King George III Dropped III - why,So Americans don’t think it’s a sequel
General,What is a roker,A foot long ruler
General,"In October 1999, who replaced Frank Dobson as Secretary of State for Health",Alan milburn
General,What is the top New Years Resolution,Lose weight
General,Illnesses in which the immune system reacts to normal components of the body as if they were foreign substances and produces antibodies against them,Autoimmune Diseases
General,"""Louis, 1 think this is the beginning of a beautiful friendship"" are the last words of which film",Casablanca
General,What is the flower that stands for: cleanliness,Hyssop
Music,Which Shakespeare play shares it's title with a 1981 Dire Straits hit,Romeo & Juliet
General,How long can a bedbug live without food,One Year
Geography,Which is the only musical bird that can fly backwards?,Hummingbird
People & Places,Which Liberal Leader Was Aquitted Of Attempted Murder ,Jeremy Thorpe 
General,Bell's palsy results in numbness in which area,Face
General,Which phrase means computer simulation that seems life like,Virtual reality
General,Slugs have four of them - what,Noses
General,In Japan what is Yomiyuri Shimbun,Newspaper – worlds best seller
General,Fill in the blank: when you ____ upon a star,Wish
General,The first US copyrighted film showed what in 1894,A man sneezing
Science & Nature,What is the name of the layer between the Earth's crust and the Earth's core ?,Mantle
Food & Drink,"Booze Name: Vodka, consomme, lemon, tabasco sauce, salt, pepper, celery salt.",Bullshot
General,Who plays Auntie Wainwright in Last Of The Summer Wine,Jean alexander
General,In Greek mythology Penthesilea was the queen of which people,Amazons
General,What was the annihilation of the jews in wwii called,Holocaust
General,Baseball: the st louis ______,Cardinals
General,"Translate ""january river"" into portuguese",Rio de janeiro
Music,Name The 4 Members Of The Travelling Wilburys PFE,"George Harrison, Roy Orbison, Tom Petty, Bob Dylan"
General,What is biltong,Dried meat
General,Any of a group of composite organisms made up of a fungus & an alga living in symbiotic association (symbiosis),Lichen
General,What's the only city today split in two by a wall,Nicosia Cyprus
General,What battle does the French Legion Celebrate Annually,Camerone - A Defeat
General,Reuben Tice died trying to invent a machine to do what,Dewrinkle prunes
General,What kind of animal is Beatrix Potters Mrs Tiggy Winkle,Hedgehog
Tech & Video Games,The Sega Genesis game about two lost aliens looking for their spaceship was called what?,ToeJam and Earl
General,Who sailed in a ship called the Argo,Jason
Geography,To what country does the Gaza Strip belong?,Egypt
General,Ben Franklin invented it - Britain tried it in 1916 - What,Daylight saving Time
General,What was the first credit card,Diners Club
General,What country would a Bulgarian with a good sense of direction walk through to reach Armenia by foot,Turkey
Entertainment,Who is Scooby Doo's nephew??,Scrappy Doo
Geography,Name the largest city in canada ,Toronto 
General,Who was the youngest world heavyweight boxing champion,Floyd patterson
General,The only member of the band zz top without a beard has what last name?,Beard
General,Which Platinum Selling Recording Artist Survived An Assassination Attempt In 1976,Bob Marley
History & Holidays,"Which classic 1946 Christmas film features the line 'Daddy, every-time a bell rings, an angel gets its wings'' ",It's a Wonderful Life 
General,What is a group of this animal called: Owls,Parliament
General,What is the name of the Dukes of Hazzards car?,General Lee
General,The volume of which solid is given by the formula 4/3(pi)r^3?,Sphere
General,"Who said ""A Single death is a tragedy a million a statistic""",Joseph Stalin
General,What name is given to twins who are joined together by some part of their anatomy,Siamese
Music,"The Lee Dorsey Song ""Working In A Coal Mine"" Was Later Covered By Which Quirky Band",Devo
History & Holidays,"What is Myrrh? Is it a herb, a gum resin or an essence distilled from orchids ",Gum resin 
Food & Drink,Laetrile is associated with the pit of which fruit ,Apricot 
General,Thomas Harris created what character,Hannibal Lector
General,What was known as Arabian Wine,Coffee
General,What is the capital of north carolina,Raleigh
General,"Who claimed that in the garden of eden god spoke swedish, adam spoke danish, and the serpent spoke french",Swedish philologist
General,"In which 1945 film starring Lauren Bacall, did Humphrey Bogart play a Martinique bar-owner who was opposing the Nazis",To have and have not
General,"Field of engineering & applied physics dealing with the design & application of devices, usually electronic circuits, the operation of what depends on the flow of electrons for the generation, transmission, reception, & storage of information",Electronics
General,Tracey and Hepburn first film in 1942 was what,Woman of the Year
Science & Nature,How Many Hearts Does An Octopus Have? ,Three Hearts 
General,Property of a fluid that tends to prevent it from flowing when subjected to an applied force,Viscosity
General,The nest of an eagle or bird of prey is an,Eyrie
General,Filo pastry stuffed with chopped nuts and honey,Baklava
Art & Literature,"In 'Romeo and Juliet', about what was Mercutio's long monologue?",Queen Mab
General,What is the flower that stands for: call me not beautiful,Unique rose
General,In what country is the town of Liege,Belgium
General,In which film was the best supporting actor Oscar won in 1975,The Sunshine Boys George Burns
General,34% of Californian Male students 10% of Female lied to get what,Sexual Partner
Science & Nature,A scientist who studies reptiles and amphibians is known as a:,Herpetologist
General,International Phonetice Alphabet: N,November
General,"Two of the permanent residents of Fawlty Towers were old ladies. One is Miss Tibbs, what is the name of the other",Miss gatsby
General,If silver is stamped with a leopard in which city was it assayed,London
General,Who invented Coca Cola,Dr john pemberton
General,"Henry the Eighth was the father of two English Queens, Mary I and Elizabeth I. Which other King was the father did the same",James the second
General,What model of automobile is known for its water-tight characteristics,Volkswagen beetle
General,Bibliophobia is a fear of __________.,Books
General,"In the movie snow white, what instrument did sneezy play",Accordian
Science & Nature,As what is the North Star also known?,Polaris
General,Who was the dictator of Uganda from 1971 to 1979,Idi amin
General,The ionian and cyclades are island groups of which country,Greece
Music,The Scottish Band The Soup Dragons Got Their Name From Which Childrens TV Show,The Clangers
General,What is the hobby of a 'twitcher',Bird watching
General,Jack Haley played the Tin Man what was the Tin Mans name,Hickory Twicker
General,"In dentistry, what are ""angle irons"" and 'rolex'",Braces
General,"To ""testify"" was based on men in the Roman court swearing to a statement made by swearing on what",Their testicles
General,What legendary character is rooted in U.S. pioneer John Chapman,Johnny appleseed
History & Holidays,"""Which former star of 'Crossroads'' Played """"Meg Richardson"""" And was born on 25th December,1923"" ",Noel Gordon 
General,Which Famous Artists Designed The Chupa Chups Logo In 1969,Salvador Dahli
Science & Nature,How Many Ribs Do You Have ,24 Ribs 
Sports & Leisure,What is the only English football team without a vowel in the first five letters of it`s name? ,Crystal Palace 
General,What do ladybugs do in the winter,Hibernate
General,What 3 flags does the Union Jack comprise of?,England Scotland Ireland
General,What is the official sport of Maryland,Jousting
Science & Nature,"The __________ has only two toes, unlike most birds, which have three or four.",Ostrich
General,What kind of book did dr seuss pen five of ten best-sellers in u.s history by 1994,Children's books
Science & Nature,What is the name for a group of stars,Constellation
General,What does MTA stand for among Frisbee freaks,Maximum time aloft
General,The word 'batrachian' describes which animals,Frogs & toads
General,Who sang the title song to 'goldfinger',Shirley bassey
General,"In popular culture, what is a 'Tamagotchi'",Virtual pet
General,What asian country is bordered by the soviet union and china,Mongolia
General,Who is known as big mama in ladies pro golf,Joanne carner
General,Only female humans and what have hymens,Horses
General,In which country was the Pahlavi family a ruling dynasty,Iran
General,What do tendons join to bones,Muscles
Music,Which Chicago Club Gave House Music It's Name,The Warehouse Club
General,1938 marked the introduction of this Volkswagen car.,Beetle
Geography,What is the basic unit of currency for Brunei ?,Dollar
General,Which vegetable is used if a dish is described as 'a la Crecy',Carrots
General,What kind of hat is depicted on lee trevino's golf cap,A sombrero
Sports & Leisure,Who Made The First 147 Break At The Snooker World Championships ,Cliff Thorburn 
Science & Nature,The mouse is the most common mammal in the __________,United states
General,What does a 'postman' normally receive in kids' party games,Kisses
Music,John's first published book was called:,In His Own Write
General,"In the tv series 'the dukes of hazard', what was painted on the top of their car",Confederate flag
Science & Nature,A South African __________ can grow to be 35 inches (90 cm) in length _ longer than your arm.,Bullfrog
General,What is the capital of Montenegro?,Podgorica
Science & Nature,"What are these: Ceres, Juno, Iris, and Flora",Asteroid
General,What is divided into 114 surahs,The Koran - Surah = chapter
General,What country has the biggest population,China
General,Port Said lies on which waterway,The suez canal
General,"Optiphone, Lustreer and Mirascope early names for which item",Television
General,The Mbuti tribe in Africa are the worlds what,Shortest race
General,What does a botanist study,Plants
Sports & Leisure,Which crew sank in the 1978 boat race? ,Cambridge 
General,1979 at Clifton suspension bridge Britain's first what happened,Bungee Jump
General,What in Arthurian legend was the Siege Perilous,Empty Chair for grail finder
Food & Drink,How would you say 'house wine' in 'French' ,Vin (de la) maison 
General,"The cocktail ""Margarita"" contains cointreau, lime and which spirit",Tequila
General,"Which Very Successful Pop Duo Consist Of ""Roland Orzabal & Curt Smith""",Tears For Fears
Entertainment,"What hardcore rock group sings, 'Blind' and 'Clown'?",Korn
General,What are the only canines whose hair has a hook (or barb) on each individual follicle,Dalmatians
General,U.S. Captials - Missouri,Jefferson City
General,"Which TV Personality Had A Cameo Role In The Movie ""Bedknobs & Broomsticks""",Bruce Forsythe
General,Who did Nathuram Godsay Murder in 1948?,Mahatma Gandhi
Music,What Numeric Link Did Bros Have In Common With Tears For Fears,Each Group Had 2 Members (Twins)
General,What Was Walt Disney's Middle Name,Elias
General,What does a philatelist collect,Stamps
General,The name of this animal translates as ghost what is it,The Lemur
General,"What was the name of the ""fake"" evolutionary missing link found in Sussex, England ?",Piltdown Man
General,What countries national anthem is The Patriotic Song,Russia
General,Who wrote the 'noddy' books,Enid blyton
General,What's the Malayan sun bear's main claim to fame,Smallest bear
Science & Nature,As Their Names Would Suggest Where Were The Mamenchisaurus & The Tuojiangosaurus Found ,China 
Sports & Leisure,Baseball: The St. Louis ______?,Cardinals
General,What name is given to a year with 366 days,Leap
General,India has the largest Hindu population what country has second,Nepal
General,Parasitophobia is the fear of,Parasites
General,Which city's airport is the home base for Cathay Pacific Airlines,Hong kong
General,What is the only n.y.c borough that is not on an island,Bronx
General,What does Israel call its parliament?,Knesset
History & Holidays,How Many Colonies Signed The American Declaration Of Independence? ,13 Colonies 
General,Yvon Petra 1946 was the last Wimbledon champion to do what,Wear Trousers
Toys & Games,"In pool, what color is the eight ball?",Black
General,In Palding Ohio police officers can legally do what to dogs,Bite them to quiet
General,What is another name for a tomato,Love apple
General,"The French Physician ""Laennec"" Was Responsible For Inventing Which Medical Aid",Stethoscope
General,What name is given to the control column of an aircraft,Joystick
General,"In ballet, the position of the torso from the waist up.",Épaulement
Food & Drink,What Is Albumen The Correct Term For ,Egg White 
General,His campaign slogan was vote for AuH20 whats his name,Barry Goldwater
General,Give the name of Elizabeth Barrett Browning's dog,Flush
General,What does the Campbell-Stokes recorder measure,Duration of sunshine
General,"How Are The Musical Duo Of ""Martha Wash & Izora Armstead"" More Commonly Known",The Weathergirls
General,"""Poppy Field"" and ""Water Lilies"" were painted by which artist",Claude monet
General,What does israel call its parliament,Knesset
General,Tests on drugs and poisons determine the LD-50 dose. What does LD stand for,Lethal dose
Music,Who Is The Youngest Member Of Boyzone,Ronan Keating
General,What Country-Pop artist was once a cheerleader alongside classmate Brenda Lee at Maplewood High School in Nashville,Rita coolidge
General,"Whose last words were - ""That was the best soda I ever tasted""",Lou Costello
Food & Drink,What did Martin Stone invent in 1888 that millions of suckers use every day? ,The Drinking Straw 
General,The name of what product - German water Greek olive Oil,Vaseline Wasser Elaion
General,Which instrument did Paganini play,Violin
General,Which film actor is known as 'The muscles from Brussels',Jean claude van damme
General,At the Festival of the Cleaver Spartans nailed what to the wall,Sausages for older men to gnaw
General,The word bungalow comes from which language,Hindi
Science & Nature,"Which Variety Of Pine Tree, Alive Today, Was A Sapling During The Life Of Christ/ ",The Bristlecone Pine 
Sports & Leisure,"In which sport is the term, ""Hang ten"" used?",Surfing
General,What does the computer acronym IKBS stand for,Intelligent knowledge based system
General,Isms: Exalting one's country above all others,Nationalism
History & Holidays,What was Alexander The Great's wife's name?,Roxana
Language,What ONE word fits? ____stream; ____hill; _____pour.,Down
General,Strine is the vernacular language spoken in which country,Australia
General,At which weight was boxer Freddie Mills World Champion,Light heavyweight
General,What was the only horror film nominated best film Oscar,The Exorcist in 1973
Food & Drink,Rioja Wine Comes From Which Country ,Spain 
Music,Instrumental Band B Bumble & The Stingers Had A No.1 Hit In 1960 With A Single Based On A Tchaikovsky Tune What Was The Song,Nut Rocker
General,What is the Capital of: Belgium,Brussels
General,What actor began his career doing Doctor Pepper commercials,Bruce Willis
General,"Which female singer collaborated with Eminem with the song ""Stan""?",Dido
Food & Drink,What would you buy from a Bodega? ,Wine 
General,Venation is used to describe what item,Leaves
Sports & Leisure,Who Scored England's Last Minute Winning Goal Against Belgium In The 1990 Football World Cup? ,David Platt 
General,In which USA state is Frankfort the capital,Kentucky
General,What US State flag has a UK Union Flag on it,Hawaii
General,What does amd stand for,Advanced micro devices
Science & Nature,"Because baby pigs grow so quickly, a succession of 48 little pigs were used in the title role during the filming of the 1995 movie hit __________",Babe
General,What is the name of the disease which is considered the human form of 'Mad Cow's Disease'?,Creutzfeldt -Jakobs Disease
General,Which novel by Louis de Bernieres is set in Cephalonia,Captain corelli's mandolin
General,For how much did an American urologist buy Napoleon's penis? (US Dollars),"$3,800"
General,John Ruskin - Art Critic - Marriage collapsed when wife had what,Pubic Hair
General,Which gas has the characteristic smell of rotten eggs,Hydrogen sulphide
General,Arturo Toscanini played what instrument before conducting,The Cello
General,Marion Barry - Mayor of Washington arrested for what,Possession of Crack
General,"What common item has a coil, point, sheath and two shafts",Safety Pin
General,Who was the oldest man ever to play Test cricket when he represented England against West Indies in 1930 aged 52,Wilfred rhodes
General,What season should you head to the pond to look for tadpoles,Spring
Entertainment,What city do Batman and Robin patrol?,Gotham City
Geography,What is the basic unit of currency for Afghanistan ?,Afghani
Science & Nature,What is the small irregular white cloud that zips around Neptune approximately every 16 hours called?,Scooter
People & Places,Which European City Is Famous For Its Latin Quarter ,Paris 
General,What flag flies over gibraltar,Union jack
General,Which famous author also writes under the name pen name of Richard Bachman?,Steven King
Sports & Leisure,Who Won The First University Boat Race Between Oxford And Cambridge? ,Oxford 
General,"Which French artist painted 'The Bridge at Argenteuil', and 'The Magpie'",Claude monet
General,Which Old Testament King was succeeded by his son Rehoboam,Solomon
General,What sequence is this the start of: 2 4 6 8 10 12 14,Even numbers
General,What form modern sculpture invented Calder named Dechamp,The Mobile
History & Holidays,"In what country did ""Sepoy Mutiny"" occur?",India
General,In Baltimore it is illegal to scrub or wash what,A Sink
General,Lilongwe is the capital of ______,Malawi
General,What is the service ceiling of an f-14a tomcat,68900 feet
Music,What Was Ray Stevens 1974 Hit Based On The Phenomenon That Was Occuring At Sports Events Of The Time,The Streak
General,In 1895 the world's first disposable item made - what was it,Razor Blade – King Camp Gillette
Geography,What Is The Scirocco ,A Wind 
General,Which famous artist lost an ear,Vincent van goch
General,What mountain range is in New York state,Adirondack mountains
General,"In Greek mythology, who was paris' wife before he was smitten by helen",Oenone
Music,"Who Wrote And Performed ""Informer""",Snow
Food & Drink,"Wine vinegar, egg white and what other ingredient goes into making hollandaise sauce? ",Butter 
Sports & Leisure,In the world of sport what is 62 feet and 10 inches long and 42 inches wide? ,Ten Pin Bowling Alley 
General,"The actor who played captain sisko in 'star trek deep space nine', played ____ the 1970's series 'spencer for hire'",Hawk
Science & Nature,How Many Stomachs Does A Cow Have? ,Four 
General,Louis Washkansky was the first to do what in 1967,Get a heart transplant lived 18 days
General,What city has the fictional zipcode 90210,Beverly hills
General,What is the wife of a duke called,Duchess
General,Where is charlottetown,Prince edward island
General,A depilatory is a substance used for removing ____.,Hair
General,"From 1979 to 2000, which will be the most distant planet earth",Neptune
General,Who was the 35th president of the U.S.,John f kennedy
General,Collective nouns - A Business of what,Flies and Ferrets
General,"What is the term for a wolf's home""",Den
History & Holidays,Which Apollo mission carried Neil Armstrong and his cohorts to the moon? ,Apollo 11 
General,What did captain matthew webb swim first,English channel
General,The Spinet is another name for what old musical instrument,The Virginal
General,"Flattened, pear-shaped, hollow organ in the pelvis of the human female & most other mammals",Uterus
Geography,What is London's largest park? ,Hyde Park 
Geography,In what city is the Leaning Tower,Pisa
General,The State Duma is the lower house of assembly in the parliament of which country,Russia
General,What kind of animal is a lurcher,Dog
General,Shoot the moon is a term used in which card game,Hearts - win all
Entertainment,What did Dorothy's house land on in 'The Wizard Of Oz'?,The Wicked Witch of the West
General,The England World Cup team released a song called Back Home in which year,1970
General,What does lager literally mean in German,Storage
Entertainment,Who is the lead singer of the Rolling Stones?,Mick Jagger
General,Sinistrophobia is the fear of,Things to the left left-handed
General,What is another term for the sternum,Breastbone
General,At the battle of Actium who beat Mark Anthony and Cleopatra,Octavian - Emperor Augustus
General,Who Was The First Female To Be Inducted Into The Rock N Roll Hall Of Fame,Aretha Franklin
General,"What tree can be English, American or Eurasian",Elm
